物料SKU编码,物料SKU名称,*仓库,*现存量,*可用量,*分类名称
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为朝阳益田授权体验店,2.0,2.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为智能生活馆西安大唐不夜城,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,华为-市场部,5.0,5.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为金辉环球授权体验店,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为智能生活馆西安高新万达,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为李家村万达授权体验店,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为朝阳益田授权体验店,2.0,2.0,手机
21.001.161.001,华为 nova15 Ultra 陈列哑机 白色-演示机,演示机-华为DT51合作店,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为智能生活馆西安大唐不夜城,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为西研所分库,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为高新中大国际授权体验店,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为DT51合作店,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为高新大茂城授权体验店,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为高新金鹰授权体验店,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为高新中大国际授权体验店,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为李家村万达授权体验店,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为高新大茂城授权体验店,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为高新大茂城授权体验店,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为高新金鹰授权体验店,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为高新中大国际授权体验店,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为西研所分库,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为长乐授权体验店,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为智能生活馆西安大悦城,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为高新金鹰授权体验店,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为智能生活馆西安大悦城,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为大兴路龙湖授权体验店,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为智能生活馆西安荟聚,1.0,1.0,手机
21.001.161.002,华为 nova15 Ultra 陈列哑机 紫色-演示机,演示机-华为智能生活馆西安大悦城,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为长安万科广场授权体验店,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为大兴路龙湖授权体验店,2.0,2.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为金辉环球授权体验店,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为智能生活馆西安高新万达,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为凯德广场授权体验店,2.0,2.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为智能生活馆西安荟聚,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为朝阳益田授权体验店,2.0,2.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为浐灞优享授权体验店,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为智能生活馆西安大唐不夜城,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为金辉环球授权体验店,1.0,1.0,手机
21.001.161.003,华为 nova15 Ultra 陈列哑机 黑色-演示机,演示机-华为智能生活馆西安高新万达,1.0,1.0,手机
21.001.161.004,华为 nova15 Ultra 陈列哑机 绿色-演示机,演示机-华为李家村万达授权体验店,1.0,1.0,手机
21.001.161.001,华为 nova15 Ultra 陈列哑机 白色-演示机,演示机-华为凯德广场授权体验店,1.0,1.0,手机
21.001.160.002,华为 nova15 陈列哑机  白色-演示机,演示机-华为西研所分库,1.0,1.0,手机
21.001.160.001,华为 nova15 陈列哑机 紫色-演示机,演示机-华为华阳城合作店,1.0,1.0,手机
21.001.160.001,华为 nova15 陈列哑机 紫色-演示机,华为-市场部,2.0,2.0,手机
21.001.160.005,华为 nova15 陈列哑机 绿色-演示机,华为-市场部,2.0,2.0,手机
21.001.160.002,华为 nova15 陈列哑机  白色-演示机,华为-市场部,3.0,3.0,手机
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为智能生活馆西安大唐不夜城,2.0,2.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为智能生活馆西安荟聚,4.0,4.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为西安SKP至臻店,1.0,1.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为西安SKP至臻店,2.0,2.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为智能生活馆西安高新万达,2.0,2.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为西安SKP至臻店,2.0,2.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为智能生活馆西安荟聚,2.0,2.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为智能生活馆西安高新万达,2.0,2.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为浐灞优享授权体验店,1.0,1.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为智能生活馆西安荟聚,3.0,3.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为智能生活馆西安荟聚,2.0,2.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为智能生活馆西安高新万达,1.0,1.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为智能生活馆西安大悦城,3.0,3.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为智能生活馆西安荟聚,1.0,1.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为智能生活馆西安荟聚,2.0,2.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为智能生活馆西安荟聚,2.0,2.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为西安SKP至臻店,1.0,1.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为智能生活馆西安大悦城,1.0,1.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为智能生活馆西安荟聚,2.0,2.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为西安SKP至臻店,2.0,2.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为西安SKP至臻店,1.0,1.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为智能生活馆西安大悦城,1.0,1.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为智能生活馆西安高新万达,1.0,1.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为浐灞优享授权体验店,1.0,1.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为智能生活馆西安大悦城,3.0,3.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为智能生活馆西安大悦城,1.0,1.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为长乐授权体验店,3.0,3.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为长乐授权体验店,2.0,2.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为李家村万达授权体验店,1.0,1.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为金辉环球授权体验店,3.0,3.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为金辉环球授权体验店,2.0,2.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为高新中大国际授权体验店,1.0,1.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为浐灞优享授权体验店,3.0,3.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为浐灞优享授权体验店,3.0,3.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为高新大茂城授权体验店,5.0,5.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为华阳城合作店,5.0,5.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为高新金鹰授权体验店,3.0,3.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为长安万科广场授权体验店,2.0,2.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为长乐授权体验店,5.0,5.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为长乐授权体验店,2.0,2.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为李家村万达授权体验店,2.0,2.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为高新中大国际授权体验店,1.0,1.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为浐灞优享授权体验店,11.0,11.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为浐灞优享授权体验店,4.0,4.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为凯德广场授权体验店,1.0,1.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为华阳城合作店,3.0,3.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为高新金鹰授权体验店,7.0,7.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为长安万科广场授权体验店,2.0,2.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为长乐授权体验店,1.0,1.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为李家村万达授权体验店,3.0,3.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为浐灞优享授权体验店,3.0,3.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为浐灞优享授权体验店,1.0,1.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为凯德广场授权体验店,3.0,3.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为朝阳益田授权体验店,3.0,3.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为华阳城合作店,17.0,17.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为高新金鹰授权体验店,3.0,3.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为大兴路龙湖授权体验店,11.0,11.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为长安万科广场授权体验店,4.0,4.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为长安万科广场授权体验店,2.0,2.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为李家村万达授权体验店,3.0,3.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为李家村万达授权体验店,5.0,5.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为高新中大国际授权体验店,2.0,2.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为浐灞优享授权体验店,4.0,4.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为高新大茂城授权体验店,1.0,1.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为高新大茂城授权体验店,5.0,5.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为朝阳益田授权体验店,2.0,2.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为高新金鹰授权体验店,2.0,2.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为大兴路龙湖授权体验店,3.0,3.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为长安万科广场授权体验店,10.0,10.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为长安万科广场授权体验店,1.0,1.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为长乐授权体验店,3.0,3.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为李家村万达授权体验店,3.0,3.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为高新中大国际授权体验店,1.0,1.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为凯德广场授权体验店,4.0,4.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为朝阳益田授权体验店,6.0,6.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为大兴路龙湖授权体验店,4.0,4.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为长安万科广场授权体验店,1.0,1.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为长乐授权体验店,1.0,1.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为朝阳益田授权体验店,3.0,3.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为凯德广场授权体验店,2.0,2.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为大兴路龙湖授权体验店,1.0,1.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为高新大茂城授权体验店,3.0,3.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为朝阳益田授权体验店,1.0,1.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为华阳城合作店,7.0,7.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为大兴路龙湖授权体验店,8.0,8.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为长安万科广场授权体验店,5.0,5.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为DT51合作店门店仓,1.0,1.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为金辉环球授权体验店,4.0,4.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为金辉环球授权体验店,1.0,1.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为朝阳益田授权体验店,1.0,1.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为高新中大国际授权体验店,2.0,2.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为凯德广场授权体验店,2.0,2.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为大兴路龙湖授权体验店,5.0,5.0,nova 16
01.001.078.001.002,华为 nova16 EMA-AL00U 12GB+512GB 晴空蓝,华为高新大茂城授权体验店,2.0,2.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为华阳城合作店,4.0,4.0,nova 16
01.001.078.001.004,华为 nova16 EMA-AL00U 12GB+512GB 幻彩贝母,华为华阳城合作店,6.0,6.0,nova 16
01.001.078.001.006,华为 nova16 EMA-AL00U 12GB+256GB 晴空蓝,华为大兴路龙湖授权体验店,2.0,2.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为长乐授权体验店,1.0,1.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为DT51合作店门店仓,1.0,1.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为金辉环球授权体验店,9.0,9.0,nova 16
01.001.078.001.008,华为 nova16 EMA-AL00U 12GB+256GB 幻彩贝母,华为金辉环球授权体验店,8.0,8.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为浐灞优享授权体验店,5.0,5.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为高新大茂城授权体验店,10.0,10.0,nova 16
01.001.078.001.005,华为 nova16 EMA-AL00U 12GB+256GB 星空黑,华为华阳城合作店,10.0,10.0,nova 16
01.001.078.001.001,华为 nova16 EMA-AL00U 12GB+512GB 星空黑,华为高新金鹰授权体验店,3.0,3.0,nova 16
01.001.078.001.007,华为 nova16 EMA-AL00U 12GB+256GB 天际白,华为高新金鹰授权体验店,1.0,1.0,nova 16
01.001.078.001.003,华为 nova16 EMA-AL00U 12GB+512GB 天际白,华为大兴路龙湖授权体验店,2.0,2.0,nova 16
01.001.079.001.003,华为 nova16 Pro CRS-AL00 12GB+256GB 天际白,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16 Pro
01.001.079.001.004,华为 nova16 Pro CRS-AL00 12GB+512GB 星空黑,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.004,华为 nova16 Pro CRS-AL00 12GB+512GB 星空黑,华为西安SKP至臻店,2.0,2.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为西安SKP至臻店,1.0,1.0,nova 16 Pro
01.001.079.001.006,华为 nova16 Pro CRS-AL00 12GB+512GB 天际白,华为智能生活馆西安大悦城,2.0,2.0,nova 16 Pro
01.001.079.001.009,华为 nova16 Pro CRS-AL00  12GB+1TB  幻彩贝母,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16 Pro
01.001.079.001.008,华为 nova16 Pro CRS-AL00  12GB+512GB  晴空蓝,华为高新大茂城授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.009,华为 nova16 Pro CRS-AL00  12GB+1TB  幻彩贝母,华为智能生活馆西安荟聚,2.0,2.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.012,华为 nova16 Pro CRS-AL00  12GB+1TB  天际白,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.001,华为 nova16 Pro CRS-AL00 12GB+256GB 星空黑,华为西安SKP至臻店,1.0,1.0,nova 16 Pro
01.001.079.001.001,华为 nova16 Pro CRS-AL00 12GB+256GB 星空黑,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16 Pro
01.001.079.001.006,华为 nova16 Pro CRS-AL00 12GB+512GB 天际白,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.001,华为 nova16 Pro CRS-AL00 12GB+256GB 星空黑,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.007,华为 nova16 Pro CRS-AL00  12GB+256GB  晴空蓝,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为智能生活馆西安高新万达,1.0,1.0,nova 16 Pro
01.001.079.001.006,华为 nova16 Pro CRS-AL00 12GB+512GB 天际白,华为智能生活馆西安高新万达,1.0,1.0,nova 16 Pro
01.001.079.001.001,华为 nova16 Pro CRS-AL00 12GB+256GB 星空黑,华为智能生活馆西安大悦城,1.0,1.0,nova 16 Pro
01.001.079.001.012,华为 nova16 Pro CRS-AL00  12GB+1TB  天际白,华为智能生活馆西安大悦城,1.0,1.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为智能生活馆西安大唐不夜城,3.0,3.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为李家村万达授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.003,华为 nova16 Pro CRS-AL00 12GB+256GB 天际白,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.001,华为 nova16 Pro CRS-AL00 12GB+256GB 星空黑,华为金辉环球授权体验店,2.0,2.0,nova 16 Pro
01.001.079.001.004,华为 nova16 Pro CRS-AL00 12GB+512GB 星空黑,华为智能生活馆西安大唐不夜城,1.0,1.0,nova 16 Pro
01.001.079.001.011,华为 nova16 Pro CRS-AL00  12GB+1TB  星空黑,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.009,华为 nova16 Pro CRS-AL00  12GB+1TB  幻彩贝母,华为智能生活馆西安高新万达,1.0,1.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为智能生活馆西安大悦城,1.0,1.0,nova 16 Pro
01.001.079.001.004,华为 nova16 Pro CRS-AL00 12GB+512GB 星空黑,华为智能生活馆西安大悦城,1.0,1.0,nova 16 Pro
01.001.079.001.012,华为 nova16 Pro CRS-AL00  12GB+1TB  天际白,华为智能生活馆西安高新万达,1.0,1.0,nova 16 Pro
01.001.079.001.006,华为 nova16 Pro CRS-AL00 12GB+512GB 天际白,华为西安SKP至臻店,1.0,1.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为智能生活馆西安大悦城,1.0,1.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为西安SKP至臻店,1.0,1.0,nova 16 Pro
01.001.079.001.006,华为 nova16 Pro CRS-AL00 12GB+512GB 天际白,华为智能生活馆西安荟聚,1.0,1.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为浐灞优享授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.003,华为 nova16 Pro CRS-AL00 12GB+256GB 天际白,华为智能生活馆西安大悦城,1.0,1.0,nova 16 Pro
01.001.079.001.004,华为 nova16 Pro CRS-AL00 12GB+512GB 星空黑,华为DT51合作店门店仓,1.0,1.0,nova 16 Pro
01.001.079.001.006,华为 nova16 Pro CRS-AL00 12GB+512GB 天际白,华为李家村万达授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.004,华为 nova16 Pro CRS-AL00 12GB+512GB 星空黑,华为金辉环球授权体验店,4.0,4.0,nova 16 Pro
01.001.079.001.001,华为 nova16 Pro CRS-AL00 12GB+256GB 星空黑,华为金辉环球授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为高新中大国际授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为凯德广场授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为高新大茂城授权体验店,4.0,4.0,nova 16 Pro
01.001.079.001.004,华为 nova16 Pro CRS-AL00 12GB+512GB 星空黑,华为华阳城合作店,2.0,2.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为高新金鹰授权体验店,2.0,2.0,nova 16 Pro
01.001.079.001.005,华为 nova16 Pro CRS-AL00 12GB+512GB 幻彩贝母,华为大兴路龙湖授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.002,华为 nova16 Pro CRS-AL00 12GB+256GB 幻彩贝母,华为大兴路龙湖授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.008,华为 nova16 Pro CRS-AL00  12GB+512GB  晴空蓝,华为长乐授权体验店,1.0,1.0,nova 16 Pro
01.001.079.001.003,华为 nova16 Pro CRS-AL00 12GB+256GB 天际白,华为长乐授权体验店,1.0,1.0,nova 16 Pro
